date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:36:33	291916/291916	---M--	200	added ('OK')	image/jpeg	etag:%224744c-4ef92ffddf14f%22	http://www.decor-art.com.pl/sites/default/files/slideshowphotos/2010-11-18/dsc_0216.jpg	./www.decor-art.com.pl/sites/default/files/slideshowphotos/2010-11-18/dsc_0216/index.jpg	(from http://www.decor-art.com.pl/)
13:36:33	262/262	---M--	200	added ('OK')	image/png	etag:W/%220%22	http://www.decor-art.com.pl/misc/xdraggable.png.pagespeed.ic._hgEnmORN6.png	./www.decor-art.com.pl/misc/xdraggable.png.pagespeed.ic._hgEnmORN6/index.png	(from http://www.decor-art.com.pl/sites/default/files/css/A.css_d89cf5118e25be60e8633832d23617e8.css.pagespeed.cf.uXI56O_F81.css)
13:36:34	790/790	---M--	200	added ('OK')	image/gif	etag:%22316-495e7a2228d40%22	http://www.decor-art.com.pl/misc/progress.gif	./www.decor-art.com.pl/misc/progress/index.gif	(from http://www.decor-art.com.pl/sites/default/files/css/A.css_d89cf5118e25be60e8633832d23617e8.css.pagespeed.cf.uXI56O_F81.css)
13:36:35	150/150	---M--	200	added ('OK')	image/png	etag:W/%220%22	http://www.decor-art.com.pl/misc/xmenu-leaf.png.pagespeed.ic.-_j_pg0E5o.png	./www.decor-art.com.pl/misc/xmenu-leaf.png.pagespeed.ic.-_j_pg0E5o/index.png	(from http://www.decor-art.com.pl/sites/default/files/css/A.css_d89cf5118e25be60e8633832d23617e8.css.pagespeed.cf.uXI56O_F81.css)
13:36:35	401346/401346	---M--	200	added ('OK')	image/jpeg	etag:%2261fc2-4ef92ffdbc9a8%22	http://www.decor-art.com.pl/sites/default/files/slideshowphotos/2010-11-18/dsc_0276.jpg	./www.decor-art.com.pl/sites/default/files/slideshowphotos/2010-11-18/dsc_0276/index.jpg	(from http://www.decor-art.com.pl/)
13:36:35	2196/2196	---M--	200	added ('OK')	image/gif	etag:%22894-495e7b8e768c0%22	http://www.decor-art.com.pl/sites/all/modules/contrib/ctools/images/status-active.gif	./www.decor-art.com.pl/sites/all/modules/contrib/ctools/images/status-active/index.gif	(from http://www.decor-art.com.pl/sites/default/files/css/A.css_d89cf5118e25be60e8633832d23617e8.css.pagespeed.cf.uXI56O_F81.css)
13:36:36	43/43	---M--	200	added ('OK')	image/gif	etag:%222b-495e7bc00ddc0%22	http://www.decor-art.com.pl/sites/all/modules/contrib/lightbox2/images/blank.gif	./www.decor-art.com.pl/sites/all/modules/contrib/lightbox2/images/blank/index.gif	(from http://www.decor-art.com.pl/sites/default/files/css/A.css_d89cf5118e25be60e8633832d23617e8.css.pagespeed.cf.uXI56O_F81.css)
13:36:37	307/307	---M--	200	added ('OK')	image/gif	etag:%22133-495e7bc102000%22	http://www.decor-art.com.pl/sites/all/modules/contrib/lightbox2/images/prev.gif	./www.decor-art.com.pl/sites/all/modules/contrib/lightbox2/images/prev/index.gif	(from http://www.decor-art.com.pl/sites/default/files/css/A.css_d89cf5118e25be60e8633832d23617e8.css.pagespeed.cf.uXI56O_F81.css)
13:36:38	305/305	---M--	200	added ('OK')	image/gif	etag:%22131-495e7bc102000%22	http://www.decor-art.com.pl/sites/all/modules/contrib/lightbox2/images/next.gif	./www.decor-art.com.pl/sites/all/modules/contrib/lightbox2/images/next/index.gif	(from http://www.decor-art.com.pl/sites/default/files/css/A.css_d89cf5118e25be60e8633832d23617e8.css.pagespeed.cf.uXI56O_F81.css)
13:36:39	277/277	---M--	200	added ('OK')	image/gif	etag:%22115-495e7bc102000%22	http://www.decor-art.com.pl/sites/all/modules/contrib/lightbox2/images/prev_hover.gif	./www.decor-art.com.pl/sites/all/modules/contrib/lightbox2/images/prev_hover/index.gif	(from http://www.decor-art.com.pl/sites/default/files/css/A.css_d89cf5118e25be60e8633832d23617e8.css.pagespeed.cf.uXI56O_F81.css)
